threshold,precision,recall,f1
0.25,0.9873,0.961,0.974
0.275,0.988,0.9608,0.9742
0.3,0.988,0.9608,0.9742
0.325,0.9883,0.9603,0.9741
0.35,0.9883,0.9603,0.9741
0.375,0.9883,0.96,0.974
0.4,0.9888,0.96,0.9742
0.425,0.9888,0.96,0.9742
0.45,0.989,0.96,0.9743
0.475,0.9891,0.9599,0.9743
0.5,0.9893,0.9595,0.9742
0.525,0.9893,0.9595,0.9742
0.55,0.9893,0.9595,0.9742
0.575,0.9895,0.9594,0.9742
0.6,0.9896,0.9594,0.9743
0.625,0.9896,0.959,0.9741
0.65,0.99,0.959,0.9743
0.675,0.99,0.9589,0.9742
0.7,0.99,0.9589,0.9742
0.725,0.99,0.9585,0.974
0.75,0.9903,0.9584,0.9741
0.775,0.9905,0.9584,0.9742
